time,open,high,low,close,TWAP,VWAP,Plot
1691539200,65.65,73.5,64.19,68.51,68.73333333333333,68.73333333333333,2.060264324763388
1691625600,68.51,71.1,64.84,68.23,68.05666666666667,68.05666666666667,1.9752234830624416
1691712000,68.23,69.31,64.7,65.39,66.46666666666665,66.46666666666665,1.6611050502698592
1691798400,65.39,67.31,63.9,65.12,65.44333333333334,65.44333333333334,1.613959891079506
1691884800,65.12,66.45,63.79,64.31,64.85000000000001,64.85000000000001,1.8232449398511947
1691971200,64.31,66.49,62.36,62.94,63.93,63.93,1.960734377294432
1692057600,62.94,63.69,58.98,63.42,62.029999999999994,62.029999999999994,1.7202182394956287
1692144000,63.42,64.28,60,60.66,61.64666666666667,61.64666666666667,1.7749010656425048
1692230400,60.66,61.68,57.88,59.84,59.800000000000004,59.800000000000004,1.688678446488436
1692316800,59.84,64.73,59,64.42,62.71666666666667,62.71666666666667,1.8302995265288207
1692403200,64.42,73.23,62.79,64.14,66.72000000000001,66.72000000000001,2.3249076803403796
1692489600,64.14,67.64,61.58,62.28,63.833333333333336,63.833333333333336,2.3442956764700695
1692576000,62.28,63.8,59.86,63.59,62.416666666666664,62.41666666666666,2.3799750275401044
1692662400,63.59,64,61.12,61.41,62.17666666666667,62.17666666666667,2.5145185922345314
1692748800,61.41,63,58,61.24,60.74666666666667,60.74666666666668,2.365451544565191
1692835200,61.24,63.8,58.51,60.03,60.78,60.78,2.00156297666172
1692921600,60.03,62.98,60,61.2,61.39333333333334,61.39333333333333,1.278440868964923
1693008000,60.43,60.92,59.52,59.64,60.026666666666664,60.026666666666664,0.98802155711082
1693094400,59.64,62,58.62,60.44,60.35333333333333,60.353333333333325,0.9545934744698853
1693180800,60.44,62.23,59.13,59.67,60.343333333333334,60.343333333333334,0.8275176744397827
1693267200,59.67,62.4,57.2,61.22,60.27333333333333,60.27333333333333,0.8621547660484493
1693353600,61.22,61.66,52.02,55.53,56.403333333333336,56.403333333333336,0.910386825841995
1693440000,55.53,62.03,53.91,55.11,57.01666666666667,57.01666666666667,0.7039732104859704
1693526400,55.11,57.4,48.24,51.2,52.28,52.28,0.5385714180285549
1693612800,51.2,54.75,49.1,50.37,51.406666666666666,51.406666666666666,0.5635769279950464
1693699200,50.37,56.48,50.33,54.99,53.93333333333334,53.93333333333334,0.008925272959775953
1693785600,54.99,56.39,53.31,54.78,54.826666666666675,54.826666666666675,-0.7191461602305957
1693872000,54.78,56.47,51.38,53.02,53.623333333333335,53.62333333333333,-0.9181922196749102
1693958400,53.02,54,50.25,50.37,51.54,51.54,-1.2883330477168926
1694044800,50.37,53.43,50.25,53.32,52.333333333333336,52.33333333333333,-1.3674830909538835
1694131200,53.32,53.75,50.56,52.48,52.26333333333333,52.26333333333332,-0.8209343664519615
1694217600,52.48,52.51,50.4,51.17,51.35999999999999,51.35999999999999,-0.475591154248789
1694304000,51.17,51.18,47.77,49.71,49.553333333333335,49.553333333333335,-0.8965497326239144
1694390400,49.71,50.91,47.2,47.69,48.6,48.6,-1.2761987676061448
1694476800,47.69,51.65,47.5,50.36,49.836666666666666,49.836666666666666,-0.9388621303587906
1694563200,50.36,52.01,48.58,48.97,49.85333333333333,49.85333333333333,-0.38374653617650645
1694649600,48.97,51.92,48.72,51.76,50.800000000000004,50.800000000000004,-0.2380507003597383
1694736000,51.76,54.72,50.19,54.25,53.053333333333335,53.053333333333335,0.04359828518065643
1694822400,54.25,58.63,53.13,56.52,56.093333333333334,56.093333333333334,0.4741623920319644
1694908800,56.52,57.41,53.8,54.82,55.343333333333334,55.34333333333333,0.5408548321061154
1694995200,54.82,55.57,53.79,54.09,54.48333333333333,54.48333333333333,0.7504811267984695
1695081600,54.09,55.48,52.6,53.1,53.72666666666667,53.72666666666667,0.5339079730294021
1695168000,53.1,54.4,51.33,52.14,52.623333333333335,52.623333333333335,0.16080038407559405
1695254400,52.14,53.18,50.77,51.39,51.78,51.78000000000001,-0.280659519251733
1695340800,51.39,52.02,50.77,51.9,51.56333333333333,51.56333333333333,-0.3486184308561841
1695427200,51.9,55.2,50.25,53.81,53.086666666666666,53.086666666666666,0.14182599384844458
1695513600,53.81,54.67,52.99,54.13,53.93,53.93,0.18910531290794932
1695600000,54.13,59.89,52.79,55.58,56.086666666666666,56.086666666666666,0.16850959961767295
1695686400,55.58,59.26,54.99,58.75,57.666666666666664,57.666666666666664,0.46685806603350016
1695772800,58.75,58.86,54.33,56.26,56.48333333333333,56.48333333333333,0.5210114770620039
1695859200,56.26,57.3,55.73,56.87,56.63333333333333,56.63333333333333,0.3450072541263324
